"filename", "language", "TypeScript", "YAML", "Markdown", "Shell Script", "MS SQL", "JSON", "JavaScript", "JSON with Comments", "XML", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/status-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 10, 77
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 10, 120
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 4, 24
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/hooks/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/hooks/use-debounced-value.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 10, 82
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api-client.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 78
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/admins.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/analytics.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/app-config.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 43
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/audit-logs.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/auth.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/cashback.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 88
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/crypto.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/deletions.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/giftcards.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/help.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 130
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/kyc.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/notifications.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 131
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/support.ts", "TypeScript", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 272
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/transactions.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/users.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/venly-wallets.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 185
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/virtual-accounts.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/vtu.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/wallets.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/api/withdrawal.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 88
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/auth-store.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/permissions.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 128
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/lib/utils.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 71
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/package-lock.json", "JSON", 0, 0, 0, 0, 0, 6577, 0, 0, 0, 0, 0, 0, 0, 1, 6578
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/package.json", "JSON", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/types/index.ts", "TypeScript", 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 47, 599
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/types/support.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 244
